"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"363",15,"Michael Mayer",LV,"TE44","280","335","307.0","23.1","-"
"364",15,"Luke Musgrave",GB,"TE45","254","390","312.0","49.4","-"
"365",15,"Brandon McManus",GB,"K24","209","273","241.0","32.0","-"
"366",15,"Cairo Santos",CHI,"K25","202","281","241.5","39.5","-"
"367",15,"Noah Brown",WAS,"WR121","271","345","313.3","26.8","-"
"368",15,"Tutu Atwell",LAR,"WR122","183","378","290.7","80.9","-"
"369",15,"Jaylin Lane",WAS,"WR123","226","263","244.5","18.5","-"
"370",15,"Marquez Valdes-Scantling",SEA,"WR124","288","389","316.0","42.2","-"
"371",15,"Jake Moody",SF,"K26","211","294","252.5","41.5","-"
"372",15,"Will Howard",PIT,"QB42","279","318","298.0","15.9","-"
"373",15,"Dawson Knox",BUF,"TE46","294","360","320.0","24.7","-"
"374",15,"A.J. Dillon",PHI,"RB108","250","264","257.0","7.0","-"
"375",15,"Antwane Wells Jr.",NYG,"WR125","290","370","320.8","32.5","-"
"376",15,"Theo Wease",FA,"WR126","295","368","322.8","30.1","-"
"377",15,"Trey Sermon",FA,"RB109","305","364","338.6","24.9","-"
"378",15,"Samaje Perine",CIN,"RB110","305","312","308.7","2.9","-"
"379",16,"Mack Hollins",NE,"WR127","271","395","314.0","57.3","-"
"380",16,"Mitchell Evans",CAR,"TE47","271","341","311.3","29.6","-"
"381",16,"Dillon Gabriel",CLE,"QB43","281","364","314.7","35.6","-"
"382",16,"Aidan O'Connell",LV,"QB44","307","347","322.3","17.6","-"
"383",16,"Ja'Lynn Polk",NE,"WR128","311","343","322.7","14.4","-"
"384",16,"Olamide Zaccheaus",CHI,"WR129","286","369","323.3","34.4","-"
"385",16,"AJ Barner",SEA,"TE48","308","351","326.3","18.1","-"
"386",16,"Ja'Quinden Jackson",JAC,"RB111","303","378","331.0","33.4","-"
"387",16,"Jacob Cowing",SF,"WR130","266","345","305.5","39.5","-"
"388",16,"Joe Milton III",DAL,"QB45","323","379","348.5","24.5","-"
"389",16,"Luke Lachey",HOU,"TE49","273","359","316.0","43.0","-"
"390",16,"Javon Baker",NE,"WR131","268","367","317.5","49.5","-"
"391",16,"D'Ernest Johnson",FA,"RB112","308","376","351.3","25.8","-"
"392",16,"Jalin Hyatt",NYG,"WR132","264","374","319.0","55.0","-"
"393",16,"Curtis Samuel",BUF,"WR133","306","333","319.5","13.5","-"
"394",16,"Austin Hooper",NE,"TE50","312","366","343.7","23.0","-"
"395",16,"Cade Stover",HOU,"TE51","317","371","346.0","22.2","-"
"396",16,"Darnell Washington",PIT,"TE52","315","388","349.0","30.0","-"
"397",16,"Tommy Tremble",CAR,"TE53","313","373","350.3","26.6","-"
"398",16,"Allen Lazard",NYJ,"WR134","295","377","336.0","41.0","-"
"399",16,"Ja'Corey Brooks",FA,"WR135","327","349","338.0","11.0","-"
"400",16,"Marcus Mariota",WAS,"QB46","324","357","340.5","16.5","-"
"401",16,"Foster Moreau",NO,"TE54","319","372","345.5","26.5","-"
"402",16,"Marcus Yarns",NO,"RB113","331","362","346.5","15.5","-"
"403",16,"Stone Smartt",NYJ,"TE55","340","356","348.0","8.0","-"
"404",16,"Elijah Higgins",ARI,"TE56","324","375","349.5","25.5","-"
"405",16,"Malik Willis",GB,"QB47","321","386","353.5","32.5","-"
"406",16,"Luke Schoonmaker",DAL,"TE57","352","373","362.5","10.5","-"
"407",16,"Grant Calcaterra",PHI,"TE58","353","380","366.5","13.5","-"
"408",16,"Mac Jones",SF,"QB48","362","377","369.5","7.5","-"
