"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"39","Lamar Jackson","QB","BAL",336,24.1,20.4,312,369,44.4,50.2,51.9,39,41,32,4,"3",36.2,22.8,20
"40","George Kittle","TE","SF",193,9.96,5.76,179,211,44.2,64.2,29.5,40,30,52,7,"3",58.9,13,3
"41","Marvin Harrison Jr.","WR","ARI",249,16.8,1.7,228,268,42.7,43.8,31.8,41,47,48,11,"5",21.6,38.1,16
"42","James Conner","RB","ARI",201,22.9,4.46,177,232,42,46,31,42,45,51,20,"6",55.5,16.2,39
"43","Deebo Samuel","WR","SF",247,24.7,0.845,224,292,41,39.8,56.5,43,55,29,12,"5",29.2,27.2,59
"44","Nico Collins","WR","HOU",246,16.5,0.847,225,271,40.1,41.7,35.4,44,50,43,13,"5",30.8,25.2,21
"45","Drake London","WR","ATL",246,15,3.03,227,268,39.3,43,31.7,45,48,49,14,"5",29.6,28,6
"46","Kyle Pitts","TE","ATL",188,18.5,7.87,167,219,38.4,52.6,37.5,46,38,40,8,"4",68.9,10.8,32
"47","Najee Harris","RB","PIT",196,17.9,1.14,176,224,37.6,44.4,22.9,47,46,63,21,"6",68.9,13.4,11
"48","Zamir White","RB","LVR",195,16.5,3.67,174,215,36.4,42.9,13.6,48,49,73,22,"7",65.2,12.5,17
"49","Michael Pittman","WR","IND",243,19.2,0.06,217,275,36.3,33.2,39.4,49,63,38,15,"5",44.1,22.6,40
"50","Mike Evans","WR","TB",243,9.9,0.572,231,260,36.2,46.9,24.1,50,44,61,16,"5",30.8,29.9,1
"51","Cooper Kupp","WR","LAR",242,17.6,0.315,215,263,35.6,31.6,26.8,51,66,58,17,"5",33.5,28.7,29
"52","DeVonta Smith","WR","PHI",242,13.6,0.489,223,257,35.3,39.1,21.4,52,58,66,18,"5",45.2,19.1,3
"53","Brandon Aiyuk","WR","SF",241,16.7,0.924,223,270,34.8,39.5,33.6,53,56,46,19,"5",37.4,22.6,27
"54","Stefon Diggs","WR","HOU",240,18.9,1.67,223,267,33.9,39.4,31.3,54,57,50,20,"5",46.6,20.2,54
"55","David Montgomery","RB","DET",192,21.4,0.0972,166,230,32.8,35,28.1,55,60,55,23,"7",62.5,14.1,27
"56","Javonte Williams","RB","DEN",191,18.7,0.973,171,220,32.7,40.3,18,56,54,69,24,"7",90.4,10.5,25
"57","D.J. Moore","WR","CHI",239,22.9,1.01,212,273,32.2,28.6,36.6,57,70,41,21,"5",43.1,22.4,49
"58","Tony Pollard","RB","TEN",190,18.2,0.506,172,223,31.7,40.7,21.9,58,52,64,25,"7",81.9,9.47,18
"59","D'Andre Swift","RB","CHI",190,23.9,3.99,163,229,31.2,31.7,27.7,60,65,56,26,"7",63.1,13.5,44
"60","DK Metcalf","WR","SEA",238,14.9,0.0993,224,260,31.2,40.6,23.7,59,53,62,22,"5",38.9,23.3,10
"61","Jaylen Waddle","WR","MIA",237,16.2,8.76,220,257,31.1,35.9,21.5,61,59,65,23,"6",42.8,21.6,24
"62","David Njoku","TE","CLE",180,12.8,0.671,165,200,30.6,51,18.1,62,39,68,9,"4",91.2,5.53,6
"63","Jake Ferguson","TE","DAL",179,9.9,15.6,163,189,29.9,48.4,7.55,63,43,85,10,"5",85.7,7.43,1
"64","Devin Singletary","RB","NYG",186,25.9,0.492,163,229,27.2,32.3,27.3,64,64,57,27,"7",91.9,8.43,58
"65","Jaylen Warren","RB","PIT",186,12.2,1.03,172,202,26.7,40.9,0.84,65,51,101,28,"7",96.2,5.84,1
"66","Raheem Mostert","RB","MIA",184,19.9,6.56,165,222,25.7,34,20.7,66,62,67,29,"7",68.6,11.6,35
"67","Anthony Richardson","QB","IND",316,23.6,1.27,288,355,24,25.4,37.6,67,74,39,5,"3",56.1,14.1,43
"68","C.J. Stroud","QB","HOU",315,24.1,0.722,288,351,22.8,26.2,34,68,73,45,6,"3",48.2,15.8,26
"69","Amari Cooper","WR","CLE",229,17,2.02,207,250,22.4,22.9,14.3,69,80,71,24,"6",55.8,15.3,20
