"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"62","Brandon Aiyuk","WR","SF",12.5,1.5,0.00102,10.7,14.9,1.71,1.42,2.64,62,65,58,23,"6",NA,NA,68
"63","Darnell Mooney","WR","ATL",12.5,2.08,0.498,9.91,16.2,1.7,0.68,3.94,63,81,41,24,"6",NA,NA,90
"64","Jordan Love","QB","GB",18.6,0.801,0.0974,17.4,19.7,1.68,2.6,1.02,64,54,78,5,"3",NA,NA,9
"65","Baker Mayfield","QB","TB",18.5,0.941,0.355,17.2,19.4,1.58,2.42,0.742,65,57,91,6,"3",NA,NA,24
"66","Nick Chubb","RB","CLE",9.59,1.84,0.0407,6.5,11.6,1.45,0.0616,1.41,66,125,68,29,"8",NA,NA,87
"67","Rachaad White","RB","TB",9.55,0.947,0.00132,8.25,10.8,1.41,1.82,0.562,67,59,97,30,"8",NA,NA,25
"68","Devin Singletary","RB","NYG",9.55,1.41,0.248,6.97,11.1,1.41,0.53,0.881,68,89,87,31,"8",NA,NA,66
"69","Younghoe Koo","K","ATL",10,1.85,0.209,8.35,13.4,1.34,0.856,3.8,69,75,43,1,"1",NA,NA,99
"70","Joe Burrow","QB","CIN",18.1,0.883,0.261,17.3,19.3,1.23,2.45,0.552,70,56,98,7,"3",NA,NA,21
"71","Brian Thomas Jr.","WR","JAC",12,1.11,0.0675,9.88,13,1.21,0.651,0.788,71,84,90,25,"6",NA,NA,35
"72","Sam LaPorta","TE","DET",9.18,1.43,0.0426,6.58,11,1.17,-0.105,1.79,72,135,67,7,"4",NA,NA,82
"73","Alexander Mattison","RB","LVR",9.3,1.72,0.122,6.86,11.2,1.16,0.427,1,73,96,80,32,"8",NA,NA,82
"74","Fred Warner","LB","SF",8.13,1.37,0.682,6.87,9.43,1.15,1.22,0.083,74,69,122,1,"1",NA,NA,10
"75","Jordan Addison","WR","MIN",11.9,1.34,0.188,9.85,13.5,1.14,0.613,1.22,75,86,70,26,"6",NA,NA,55
"76","Kyle Pitts","TE","ATL",9.14,0.804,0.113,7.86,10.1,1.13,1.18,0.938,77,71,83,8,"5",NA,NA,24
"77","Austin Seibert","K","WAS",9.83,1.34,0.568,7.58,11.4,1.13,0.0857,1.84,76,123,66,2,"1",NA,NA,90
"78","Zack Moss","RB","CIN",9.18,0.833,0.671,8,10.2,1.04,1.56,0,78,63,130,33,"9",NA,NA,21
"79","Dalton Kincaid","TE","BUF",9.02,1.22,0.505,7.11,10.2,1.02,0.427,1.06,79,95,75,9,"5",NA,NA,68
"80","Brock Purdy","QB","SF",17.9,1.2,0.227,16.1,19.3,0.964,1.31,0.572,80,67,95,8,"4",NA,NA,41
"81","George Pickens","WR","PIT",11.7,1.34,0.0384,9.75,13.2,0.95,0.518,1,81,90,79,27,"6",NA,NA,54
"82","Wan'Dale Robinson","WR","NYG",11.7,1.17,0.129,10.1,13.1,0.912,0.83,0.818,82,76,89,28,"7",NA,NA,39
"83","Jessie Bates","DB","ATL",7.07,1.33,0.113,6.15,8.61,0.911,0.727,1.14,83,80,72,1,"1",NA,NA,71
"84","Julian Love","DB","SEA",6.96,1.32,0.377,6.17,8.51,0.797,0.741,1.03,84,79,77,2,"1",NA,NA,69
"85","Jaxon Smith-Njigba","WR","SEA",11.6,1.05,0.0763,10.3,12.8,0.783,1.03,0.526,85,73,99,29,"7",NA,NA,32
"86","Kyler Murray","QB","ARI",17.6,0.968,0.0438,16,19,0.737,1.24,0.275,86,68,111,9,"4",NA,NA,29
"87","Jonathan Greenard","DL","MIN",3.9,0.495,0.364,3.61,4.29,0.717,0.802,0.135,87,77,117,2,"2",NA,NA,28
"88","Ladd McConkey","WR","LAC",11.5,1.34,0.18,9.54,13.6,0.706,0.312,1.34,88,104,69,30,"7",NA,NA,52
"89","C.J. Stroud","QB","HOU",17.6,1.55,0.391,15.4,19.6,0.693,0.574,0.886,89,87,86,10,"4",NA,NA,56
"90","Bengals","DST","CIN",6.04,0.928,0.522,4.5,6.7,0.58,-0.304,0.00609,90,156,129,1,"1",NA,NA,90
"91","Jason Myers","K","SEA",9.27,1.1,0.0358,7.76,10.5,0.564,0.269,0.979,91,108,81,3,"1",NA,NA,52
"92","Justin Tucker","K","BAL",9.23,0.451,0.182,8.71,9.86,0.528,1.22,0.297,92,70,110,4,"1",NA,NA,1
"93","Josh Downs","WR","IND",11.3,0.961,0.124,9.87,12.7,0.526,0.642,0.431,93,85,101,31,"7",NA,NA,25
"94","Tucker Kraft","TE","GB",8.52,0.885,0.194,7.02,9.35,0.513,0.336,0.182,94,103,115,10,"5",NA,NA,38
"95","Zaire Franklin","LB","IND",7.45,2.51,0.0316,5.83,10.4,0.464,0.18,1.04,95,114,76,2,"1",NA,NA,84
"96","Roquan Smith","LB","BAL",7.42,2.76,0.0406,5.16,10.5,0.432,-0.482,1.19,96,176,71,3,"1",NA,NA,94
"97","Tyler Nubin","DB","NYG",6.58,0.877,0.0111,5.81,7.48,0.421,0.387,0,97,99,130,3,"1",NA,NA,29
"98","Xavier McKinney","DB","GB",6.57,0.742,0.0461,5.91,7.31,0.41,0.485,-0.163,98,92,142,4,"1",NA,NA,17
"99","Courtland Sutton","WR","DEN",11.2,0.54,0.0594,10.2,11.7,0.402,0.976,-0.55,99,74,187,32,"7",NA,NA,1
"100","Bobby Wagner","LB","WAS",7.37,2.65,0.0395,5.54,10.5,0.392,-0.109,1.11,100,137,73,4,"1",NA,NA,92
"101","Tyler Allgeier","RB","ATL",8.51,1.15,0.367,7.22,10.1,0.367,0.784,-0.109,101,78,139,34,"9",NA,NA,44
"102","Reed Blankenship","DB","PHI",6.53,1.13,0.0327,5.87,7.86,0.363,0.449,0.379,102,94,104,5,"1",NA,NA,51
"103","Zach Allen","DL","DEN",3.54,1.05,0.0225,2.82,4.27,0.353,0.0153,0.12,103,127,119,3,"2",NA,NA,74
"104","Robert Spillane","LB","LVR",7.34,2.27,0.112,5.83,9.99,0.352,0.181,0.642,104,113,93,5,"1",NA,NA,75
"105","Tyler Bass","K","BUF",9.05,0.806,0.164,7.9,9.81,0.346,0.408,0.249,105,98,112,5,"1",NA,NA,21
"106","Michael Pittman","WR","IND",11.1,0.59,0.07,10.4,12.1,0.343,1.12,-0.107,106,72,138,33,"7",NA,NA,4
"107","Zach Sieler","DL","MIA",3.52,0.594,0.00993,3.11,3.93,0.331,0.307,-0.221,107,105,145,4,"2",NA,NA,38
"108","Nick Cross","DB","IND",6.49,1.24,0.275,5.73,7.94,0.331,0.302,0.465,108,106,100,6,"1",NA,NA,64
"109","Maxx Crosby","DL","LVR",3.51,1.06,0.089,2.9,4.76,0.321,0.1,0.609,109,121,94,5,"2",NA,NA,77
