"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"201","Adam Trautman","TE","NO",4.97,0.803,0.272,4.22,6.33,-2.73,-2.11,-3.15,196,183,193,29,"11",NA,NA,50
"202","Matt Ryan","QB","IND",13.7,1.23,0.564,11.9,15,-2.8,-3.03,-4.49,197,214,223,23,"9",NA,NA,61
"203","Josh Palmer","WR","LAC",8.89,0.934,0.0687,7.24,9.61,-2.81,-2.09,-3.84,198,182,210,50,"10",NA,NA,35
"204","Elijah Moore","WR","NYJ",8.82,0.923,0.321,7.53,9.98,-2.88,-1.79,-3.47,199,172,202,51,"11",NA,NA,33
"205","Damien Williams","RB","ATL",5.44,0.228,0.115,5.28,5.6,-2.95,-0.421,-5.43,200,118,247,45,"13",NA,NA,5
"206","Juwan Johnson","TE","NO",4.69,1.18,0.437,2.91,6.36,-3,-3.42,-3.12,201,224,192,30,"11",NA,NA,71
"207","Kenneth Gainwell","RB","PHI",5.33,1.05,0.381,3.68,6.29,-3.07,-2.02,-4.73,202,179,232,46,"14",NA,NA,45
"208","Tee Higgins","WR","CIN",8.5,4.32,0.106,2.36,13.4,-3.2,-6.96,0,203,353,103,52,"11",NA,NA,99
"209","Julio Jones","WR","TB",8.39,1.13,0.17,7.06,9.67,-3.31,-2.27,-3.78,204,187,209,53,"11",NA,NA,43
"210","Skylar Thompson","QB","MIA",13.2,1.85,0.0437,10.9,15.7,-3.36,-4.04,-3.76,205,236,207,24,"9",NA,NA,78
"211","Cooper Rush","QB","DAL",13.1,1.1,0.38,11.9,14.9,-3.41,-2.98,-4.57,206,213,227,25,"9",NA,NA,49
"212","Kylen Granson","TE","IND",4.26,0.629,0.172,3.27,4.79,-3.44,-3.06,-4.69,207,215,231,31,"12",NA,NA,32
"213","Joshua Kelley","RB","LAC",4.94,1.02,0.134,3.63,6.56,-3.45,-2.07,-4.46,208,181,221,47,"14",NA,NA,43
"214","Marquez Callaway","WR","NO",8.22,1.35,0.101,6.45,9.79,-3.48,-2.87,-3.66,209,212,204,54,"11",NA,NA,53
"215","Mark Ingram","RB","NO",4.81,1.83,0.0173,1.97,7.18,-3.58,-3.74,-3.84,211,227,211,48,"14",NA,NA,79
"216","Tre'Quan Smith","WR","NO",8.12,1.53,0.0386,6.82,10.9,-3.58,-2.5,-2.55,210,201,180,55,"11",NA,NA,63
"217","DeeJay Dallas","RB","SEA",4.79,1.12,0.184,3.19,6.53,-3.6,-2.51,-4.49,212,202,222,49,"14",NA,NA,49
"218","Eric Saubert","TE","DEN",4.09,1.62,0.000748,1.91,6.44,-3.61,-4.41,-3.04,213,253,191,32,"12",NA,NA,85
"219","Jonnu Smith","TE","NE",4.08,1.5,0.248,2.16,6.01,-3.61,-4.16,-3.48,214,240,203,33,"12",NA,NA,81
"220","DeVante Parker","WR","NE",8.08,2.16,0.0582,4.91,11,-3.62,-4.41,-2.47,215,252,178,56,"11",NA,NA,82
"221","Noah Brown","WR","DAL",8.03,0.922,0.0184,7.13,9.54,-3.68,-2.19,-3.91,216,184,213,57,"11",NA,NA,33
"222","Darius Slayton","WR","NYG",8.01,1.14,0.0729,7.04,10.1,-3.69,-2.29,-3.39,217,188,199,58,"11",NA,NA,44
"223","Chase Claypool","WR","PIT",7.93,1.51,0.0706,5.6,9.54,-3.77,-3.73,-3.91,218,226,212,59,"11",NA,NA,61
"224","Caleb Huntley","RB","ATL",4.61,1.32,3.8e-05,2.47,6.12,-3.78,-3.23,-4.9,219,223,237,50,"14",NA,NA,55
"225","Samaje Perine","RB","CIN",4.61,0.72,0.164,3.36,5.13,-3.78,-2.35,-5.89,220,193,256,51,"14",NA,NA,26
"226","Andy Dalton","QB","NO",12.8,3.7,1.02,5.86,15.7,-3.79,-9.05,-3.72,221,397,206,26,"10",NA,NA,90
"227","Robby Anderson","WR","CAR",7.86,0.862,0.0166,7.01,9.3,-3.84,-2.31,-4.15,222,191,220,60,"11",NA,NA,26
"228","Donovan Peoples-Jones","WR","CLE",7.85,0.918,0.0471,6.92,8.9,-3.85,-2.4,-4.55,223,198,226,61,"11",NA,NA,30
"229","Harrison Bryant","TE","CLE",3.84,0.859,0.0869,2.42,4.8,-3.86,-3.91,-4.69,224,232,230,34,"12",NA,NA,57
"230","Jarvis Landry","WR","NO",7.8,NA,0.174,NA,NA,-3.9,NA,NA,225,NA,NA,62,"11",NA,NA,NA
"231","Albert Okwuegbunam","TE","DEN",3.75,1.88,0.0934,2.02,6.03,-3.94,-4.31,-3.46,226,245,201,35,"12",NA,NA,90
"232","Jaylen Warren","RB","PIT",4.44,0.8,0.00517,2.96,5.12,-3.95,-2.74,-5.9,227,206,257,52,"14",NA,NA,31
"233","Myles Gaskin","RB","MIA",4.44,2.21,0.122,1.37,6.51,-3.95,-4.33,-4.51,228,247,224,53,"14",NA,NA,92
"234","Connor Heyward","TE","PIT",3.66,1.62,0.308,1.78,4.95,-4.04,-4.55,-4.53,229,261,225,36,"12",NA,NA,86
"235","Tyrion Davis-Price","RB","SF",4.32,1.37,0.0497,2.61,5.86,-4.07,-3.1,-5.16,230,217,241,54,"14",NA,NA,58
