"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"124","Camryn Bynum","DB","MIN",6.37,1.16,0.0154,5.6,7.72,0.0623,-0.00709,-0.0293,124,134,133,8,"1",NA,NA,51
"125","Jessie Bates","DB","ATL",6.36,1.65,0.0469,5.13,8.26,0.0469,-0.482,0.512,125,184,96,9,"1",NA,NA,90
"126","Russell Wilson","QB","PIT",16.3,1.62,0.0363,14.2,18.6,0.0363,0,0.394,126,130,104,12,"5",NA,NA,71
"127","Germaine Pratt","LB","CIN",6.8,2.05,0.0354,5.52,9.21,0.0354,0.412,-0.0209,127,104,132,9,"1",NA,NA,52
"128","49ers","DST","SF",5.59,1.11,0.0291,4.13,7.27,0.0291,-0.679,0.24,128,209,115,2,"1",NA,NA,99
"129","Adam Thielen","WR","CAR",10.3,0.948,0.0188,9.29,12,0.0188,0.686,0,129,95,130,35,"9",NA,NA,23
"130","Justin Herbert","QB","LAC",16.2,0.927,0.271,14.7,17.4,0,0.576,-0.754,130,99,198,13,"5",NA,NA,24
"131","Devin Singletary","RB","NYG",6.34,0.746,0.00996,5.76,7.54,0,1.03,0,130,85,130,35,"14",NA,NA,21
"132","Elijah Moore","WR","CLE",10.3,1.26,0.153,8.6,12.1,0,0,0.0418,130,130,126,36,"9",NA,NA,56
"133","Will Dissly","TE","LAC",8.52,1.26,0.193,6.8,10.3,0,0,0.457,130,130,100,13,"7",NA,NA,76
"134","Jake Moody","K","SF",8.62,0.489,0.0211,7.78,9.17,0,0.259,-0.575,130,111,180,8,"2",NA,NA,4
"135","Saints","DST","NO",5.56,0.565,0.161,5.11,6.52,0,0.306,-0.513,130,108,170,3,"2",NA,NA,44
"136","Zach Sieler","DL","MIA",3.09,0.7,0.0183,2.61,3.58,0,0.00703,-0.553,130,127,176,10,"4",NA,NA,45
"137","Fred Warner","LB","SF",6.76,2.31,0.0214,5.04,9.43,0,-0.0644,0.204,130,139,118,10,"1",NA,NA,67
"138","Xavier McKinney","DB","GB",6.31,1.05,0.0435,5.66,7.54,0,0.0449,-0.206,130,124,149,10,"1",NA,NA,42
"139","Isaiah Davis","RB","NYJ",6.33,1.52,0.832,4.14,8.3,-0.00996,-0.587,0.759,131,193,89,36,"15",NA,NA,83
"140","Calijah Kancey","DL","TB",3.07,0.389,0.0273,2.81,3.34,-0.0183,0.201,-0.787,132,114,204,11,"4",NA,NA,17
"141","Chase McLaughlin","K","TB",8.6,1.34,0.0327,6.43,9.78,-0.0211,-1.09,0.0327,133,286,127,9,"2",NA,NA,92
"142","T.J. Edwards","LB","CHI",6.74,2.25,0.125,5.13,9.35,-0.0214,0.0293,0.125,134,126,121,11,"1",NA,NA,65
"143","Minkah Fitzpatrick","DB","PIT",6.27,1.51,0.036,5.44,8.05,-0.0435,-0.168,0.299,135,153,112,11,"1",NA,NA,80
"144","Tomon Fox","DL","NYG",3.05,1.2,0.0175,2.33,3.97,-0.0456,-0.272,-0.156,136,163,146,12,"4",NA,NA,76
"145","Brandon McManus","K","GB",8.57,0.89,0.0401,7.76,9.74,-0.0539,0.231,0,137,113,130,10,"2",NA,NA,48
"146","Micah Parsons","DL","DAL",3.03,1.04,0.0253,2.31,4.24,-0.0631,-0.292,0.115,138,167,124,13,"4",NA,NA,67
"147","Kerby Joseph","DB","DET",6.23,0.565,0.0757,5.78,6.85,-0.0795,0.167,-0.897,139,117,217,12,"1",NA,NA,8
"148","Adam Butler","DL","LVR",3,1.32,0.00217,2.22,4.03,-0.0883,-0.39,-0.1,140,172,143,14,"4",NA,NA,90
"149","Gregory Rousseau","DL","BUF",3,0.803,0.00737,2.56,3.95,-0.0905,-0.0488,-0.184,141,136,148,15,"4",NA,NA,50
"150","Jason Sanders","K","MIA",8.53,1.51,0.101,6.46,10.3,-0.094,-1.06,0.57,142,277,94,11,"2",NA,NA,96
"151","B.J. Hill","DL","CIN",2.99,0.929,0.0334,2.5,4.09,-0.0979,-0.104,-0.0431,143,147,137,16,"4",NA,NA,57
"152","Khalil Mack","DL","LAC",2.96,0.424,0.0567,2.71,3.29,-0.131,0.0991,-0.842,144,122,211,17,"4",NA,NA,19
"153","Josey Jewell","LB","CAR",6.62,2.23,0.178,4.94,9.19,-0.147,-0.165,-0.0401,145,152,136,12,"1",NA,NA,61
"154","Nick Westbrook-Ikhine","WR","TEN",10.2,1.45,0.258,7.77,12,-0.153,-0.834,-0.0601,146,235,140,37,"9",NA,NA,69
"155","Taron Johnson","DB","BUF",6.16,0.871,0.00592,5.42,7.13,-0.155,-0.189,-0.617,147,158,185,13,"1",NA,NA,25
"156","Cardinals","DST","ARI",5.4,0.822,0.0298,4.26,6.3,-0.161,-0.551,-0.731,149,190,196,4,"2",NA,NA,68
"157","Tyler Nubin","DB","NYG",6.15,1.6,0.0367,4.93,7.99,-0.161,-0.681,0.237,148,210,116,14,"1",NA,NA,86
"158","Jonathan Greenard","DL","MIN",2.9,0.495,0.0433,2.61,3.29,-0.188,0,-0.845,150,130,213,18,"4",NA,NA,26
"159","Jaguars","DST","JAC",5.37,0.542,0.138,4.81,6.07,-0.191,0,-0.961,151,130,225,5,"3",NA,NA,40
"160","Pat Freiermuth","TE","PIT",8.33,1.06,0.428,6.34,9.19,-0.193,-0.457,-0.696,152,180,191,14,"8",NA,NA,53
"161","Jason Myers","K","SEA",8.43,0.784,0.0283,7.45,9.44,-0.195,-0.0701,-0.302,153,141,153,12,"2",NA,NA,28
"162","Quentin Lake","DB","LAR",6.11,1.53,0.0606,5.12,7.9,-0.198,-0.495,0.153,154,185,119,15,"1",NA,NA,83
"163","Matthew Wright","K","KC",8.4,1.06,0.00836,6.88,9.38,-0.223,-0.644,-0.367,155,205,162,13,"2",NA,NA,64
"164","T.J. Watt","DL","PIT",2.86,0.424,0.1,2.61,3.19,-0.231,-0.000855,-0.942,156,131,221,19,"5",NA,NA,19
"165","Cameron Dicker","K","LAC",8.39,0.792,0.129,7.43,9.09,-0.232,-0.0906,-0.65,157,144,186,14,"2",NA,NA,32
"166","Deommodore Lenoir","DB","SF",6.05,0.566,0.0442,5.62,6.39,-0.258,0.0055,-1.36,158,128,270,16,"1",NA,NA,10
"167","Caleb Williams","QB","CHI",16,1.22,0.23,14.1,17.6,-0.271,-0.0644,-0.575,159,140,179,14,"5",NA,NA,53
"168","Xavier Woods","DB","CAR",6.01,0.779,0.0994,5.33,6.81,-0.303,-0.281,-0.94,160,165,220,17,"1",NA,NA,20
"169","Lavonte David","LB","TB",6.44,1.88,0.0344,5.4,8.65,-0.325,0.295,-0.574,161,110,178,13,"1",NA,NA,43
"170","Vikings","DST","MIN",5.23,1.05,0.0916,4.1,7.03,-0.329,-0.708,0,162,218,130,6,"4",NA,NA,92
"171","Carl Granderson","DL","NO",2.76,0.618,0.00103,2.2,3.36,-0.332,-0.407,-0.77,163,177,203,20,"5",NA,NA,38
"172","Grady Jarrett","DL","ATL",2.76,1.22,0.0182,1.92,3.61,-0.333,-0.683,-0.524,164,213,173,21,"5",NA,NA,83
